Optical Parameter Monitor,,,,
7.0.5319.1035,,,,
Delimiter Used: , ',',,
,,,,
Start of Measurement , 11/27/2025 16:19:32,,,
Sample Interval , 0.1 s,,,
, PM 220208217,,,
Type, PM100USB,,,
Serialnumber,1915246,,,
Sensor, S150C,,,
SensorSerialnumber,220208217,,,
Wavelength / Responsivity, 401 nm,,,
,,,,
,,,PM 220208217, 
Samples ,Date (MM/dd/yyyy) ,Time of day (hh:mm:ss) ,Power (W),
143, 11/27/2025, 16:19:50.016,1.31E-06,
144, 11/27/2025, 16:19:50.140,1.31E-06,
145, 11/27/2025, 16:19:50.262,1.31E-06,
146, 11/27/2025, 16:19:50.385,1.31E-06,
147, 11/27/2025, 16:19:50.509,1.31E-06,
148, 11/27/2025, 16:19:50.633,1.31E-06,
149, 11/27/2025, 16:19:50.756,1.31E-06,
150, 11/27/2025, 16:19:50.880,1.31E-06,
151, 11/27/2025, 16:19:51.003,1.31E-06,
152, 11/27/2025, 16:19:51.125,1.31E-06,
153, 11/27/2025, 16:19:51.248,1.31E-06,
154, 11/27/2025, 16:19:51.371,1.31E-06,
155, 11/27/2025, 16:19:51.494,1.31E-06,
156, 11/27/2025, 16:19:51.617,1.31E-06,
157, 11/27/2025, 16:19:51.739,1.31E-06,
158, 11/27/2025, 16:19:51.862,1.31E-06,
159, 11/27/2025, 16:19:51.985,1.31E-06,
160, 11/27/2025, 16:19:52.109,1.31E-06,
161, 11/27/2025, 16:19:52.233,1.31E-06,
162, 11/27/2025, 16:19:52.357,1.31E-06,
163, 11/27/2025, 16:19:52.480,1.31E-06,
164, 11/27/2025, 16:19:52.604,1.31E-06,
165, 11/27/2025, 16:19:52.727,1.31E-06,
166, 11/27/2025, 16:19:52.851,1.31E-06,
167, 11/27/2025, 16:19:52.973,1.31E-06,
168, 11/27/2025, 16:19:53.095,1.31E-06,
169, 11/27/2025, 16:19:53.219,1.31E-06,
170, 11/27/2025, 16:19:53.342,1.31E-06,
171, 11/27/2025, 16:19:53.465,1.31E-06,
172, 11/27/2025, 16:19:53.588,1.31E-06,
173, 11/27/2025, 16:19:53.710,1.31E-06,
174, 11/27/2025, 16:19:53.835,1.31E-06,
175, 11/27/2025, 16:19:53.957,1.31E-06,
176, 11/27/2025, 16:19:54.081,1.31E-06,
177, 11/27/2025, 16:19:54.205,1.31E-06,
178, 11/27/2025, 16:19:54.329,1.31E-06,
179, 11/27/2025, 16:19:54.451,1.31E-06,
180, 11/27/2025, 16:19:54.574,1.31E-06,
181, 11/27/2025, 16:19:54.698,1.31E-06,
182, 11/27/2025, 16:19:54.821,1.31E-06,
183, 11/27/2025, 16:19:54.951,1.31E-06,
184, 11/27/2025, 16:19:55.075,1.31E-06,
185, 11/27/2025, 16:19:55.200,1.31E-06,
186, 11/27/2025, 16:19:55.324,1.31E-06,
187, 11/27/2025, 16:19:55.449,1.31E-06,
188, 11/27/2025, 16:19:55.574,1.31E-06,
189, 11/27/2025, 16:19:55.704,1.31E-06,
190, 11/27/2025, 16:19:55.828,1.31E-06,
191, 11/27/2025, 16:19:55.951,1.31E-06,
192, 11/27/2025, 16:19:56.076,1.31E-06,
193, 11/27/2025, 16:19:56.200,1.31E-06,
194, 11/27/2025, 16:19:56.324,1.31E-06,
195, 11/27/2025, 16:19:56.448,1.31E-06,
196, 11/27/2025, 16:19:56.571,1.31E-06,
197, 11/27/2025, 16:19:56.694,1.31E-06,
198, 11/27/2025, 16:19:56.816,1.31E-06,
199, 11/27/2025, 16:19:56.939,1.31E-06,
200, 11/27/2025, 16:19:57.064,1.31E-06,
201, 11/27/2025, 16:19:57.187,1.31E-06,
202, 11/27/2025, 16:19:57.310,1.31E-06,
203, 11/27/2025, 16:19:57.433,1.31E-06,
204, 11/27/2025, 16:19:57.556,1.31E-06,
205, 11/27/2025, 16:19:57.680,1.31E-06,
206, 11/27/2025, 16:19:57.803,1.31E-06,
207, 11/27/2025, 16:19:57.927,1.31E-06,
208, 11/27/2025, 16:19:58.048,1.31E-06,
209, 11/27/2025, 16:19:58.171,1.31E-06,
210, 11/27/2025, 16:19:58.293,1.31E-06,
211, 11/27/2025, 16:19:58.416,1.31E-06,
212, 11/27/2025, 16:19:58.540,1.31E-06,
213, 11/27/2025, 16:19:58.662,1.31E-06,
214, 11/27/2025, 16:19:58.785,1.31E-06,
215, 11/27/2025, 16:19:58.908,1.31E-06,
216, 11/27/2025, 16:19:59.031,1.31E-06,
217, 11/27/2025, 16:19:59.154,1.31E-06,
218, 11/27/2025, 16:19:59.279,1.31E-06,
219, 11/27/2025, 16:19:59.406,1.31E-06,
220, 11/27/2025, 16:19:59.530,1.31E-06,
221, 11/27/2025, 16:19:59.654,1.31E-06,
222, 11/27/2025, 16:19:59.777,1.31E-06,
223, 11/27/2025, 16:19:59.900,1.31E-06,
224, 11/27/2025, 16:20:00.022,1.31E-06,
225, 11/27/2025, 16:20:00.145,1.31E-06,
226, 11/27/2025, 16:20:00.273,1.31E-06,
227, 11/27/2025, 16:20:00.396,1.31E-06,
228, 11/27/2025, 16:20:00.519,1.31E-06,
229, 11/27/2025, 16:20:00.642,1.31E-06,
230, 11/27/2025, 16:20:00.766,1.31E-06,
231, 11/27/2025, 16:20:00.889,1.31E-06,
232, 11/27/2025, 16:20:01.011,1.32E-06,
233, 11/27/2025, 16:20:01.140,1.31E-06,
234, 11/27/2025, 16:20:01.261,1.31E-06,
235, 11/27/2025, 16:20:01.384,1.32E-06,
236, 11/27/2025, 16:20:01.512,1.32E-06,
237, 11/27/2025, 16:20:01.636,1.31E-06,
238, 11/27/2025, 16:20:01.758,1.32E-06,
239, 11/27/2025, 16:20:01.880,1.31E-06,
240, 11/27/2025, 16:20:02.005,1.31E-06,
241, 11/27/2025, 16:20:02.128,1.31E-06,
